class,precision,recall,f1_score,accuracy
2000,0.91,1.0,0.95,   0.85
2200,0.73,0.55,0.63,   0.85
2400,0.87,1.0,0.93,   0.85
2600,0.65,0.85,0.74,   0.85
2800,1.0,0.7,0.82,   0.85
