class,precision,recall,f1_score,accuracy
0,0.49,0.45,0.47,   0.62
1,0.52,0.56,0.54,   0.62
2,0.99,0.97,0.98,   0.62
3,0.48,0.47,0.47,   0.62
4,0.63,0.65,0.64,   0.62
