class,precision,recall,f1_score,accuracy
0,0.45,0.38,0.41,   0.74
1,0.48,0.52,0.5,   0.74
2,0.97,1.0,0.99,   0.74
3,0.73,0.67,0.7,   0.74
4,0.69,0.76,0.72,   0.74
