class,precision,recall,f1_score,accuracy
0,0.83,0.87,0.85,   0.79
1,0.79,0.77,0.78,   0.79
2,0.83,0.75,0.79,   0.79
3,0.71,0.75,0.73,   0.79
4,0.79,0.81,0.8,   0.79
