class,precision,recall,f1_score,accuracy
O,0.0,0.0,0.0,   0.29
I,0.61,0.95,0.75,   0.29
U,0.61,0.7,0.65,   0.29
E,0.0,0.0,0.0,   0.29
A,0.1,1.0,0.18,   0.29
B,0.0,0.0,0.0,   0.29
D,1.0,0.1,0.18,   0.29
G,0.0,0.0,0.0,   0.29
L,0.89,0.4,0.55,   0.29
M,0.0,0.0,0.0,   0.29
N,0.91,0.5,0.65,   0.29
P,1.0,0.3,0.46,   0.29
Q,1.0,0.05,0.1,   0.29
V,0.0,0.0,0.0,   0.29
W,0.55,0.3,0.39,   0.29
