class,precision,recall,f1_score,accuracy
O,0.87,1.0,0.93,   0.88
I,0.87,1.0,0.93,   0.88
U,0.95,0.9,0.92,   0.88
E,0.8,0.8,0.8,   0.88
A,0.94,0.8,0.86,   0.88
B,0.83,0.95,0.88,   0.88
D,0.9,0.95,0.93,   0.88
G,1.0,0.8,0.89,   0.88
L,0.87,1.0,0.93,   0.88
M,0.88,0.75,0.81,   0.88
N,0.9,0.95,0.93,   0.88
P,0.95,0.95,0.95,   0.88
Q,1.0,0.8,0.89,   0.88
V,0.83,0.75,0.79,   0.88
W,0.74,0.85,0.79,   0.88
