class,precision,recall,f1_score,accuracy
0,0.96,1.0,0.98,   0.97
1,0.99,0.99,0.99,   0.97
2,0.93,0.92,0.93,   0.97
3,1.0,0.98,0.99,   0.97
4,0.93,0.93,0.93,   0.97
5,0.99,0.99,0.99,   0.97
