class,precision,recall,f1_score,accuracy
0,1.0,1.0,1.0,   0.99
1,1.0,1.0,1.0,   0.99
2,0.99,0.96,0.98,   0.99
3,1.0,1.0,1.0,   0.99
4,0.97,0.99,0.98,   0.99
5,1.0,1.0,1.0,   0.99
