class,precision,recall,f1_score,accuracy
0,1.0,1.0,1.0,   0.98
1,0.97,1.0,0.98,   0.98
2,1.0,0.83,0.91,   0.98
3,1.0,1.0,1.0,   0.98
4,0.91,1.0,0.95,   0.98
5,1.0,1.0,1.0,   0.98
