class,precision,recall,f1_score,accuracy
#229658,0.79,0.57,0.67,   0.68
#30A161,0.69,0.78,0.73,   0.68
#3DAB6B,0.55,0.53,0.54,   0.68
#49B675,0.66,0.47,0.55,   0.68
#55C17F,0.62,0.8,0.7,   0.68
#60CC89,0.57,0.68,0.62,   0.68
#6BD793,0.93,0.93,0.93,   0.68
