class,precision,recall,f1_score,accuracy
0,0.12,0.1,0.11,   0.15
1,0.0,0.0,0.0,   0.15
2,0.33,0.15,0.21,   0.15
3,0.0,0.0,0.0,   0.15
4,0.22,0.2,0.21,   0.15
5,0.0,0.0,0.0,   0.15
6,0.13,0.45,0.2,   0.15
7,0.17,0.05,0.08,   0.15
8,0.1,0.1,0.1,   0.15
9,0.16,0.35,0.22,   0.15
10,0.22,0.3,0.26,   0.15
