class,precision,recall,f1_score,accuracy
0,0.0,0.0,0.0,   0.18
1,0.16,1.0,0.28,   0.18
2,0.0,0.0,0.0,   0.18
3,0.0,0.0,0.0,   0.18
4,0.0,0.0,0.0,   0.18
5,0.0,0.0,0.0,   0.18
6,0.0,0.0,0.0,   0.18
7,0.0,0.0,0.0,   0.18
8,0.0,0.0,0.0,   0.18
9,0.0,0.0,0.0,   0.18
10,0.21,1.0,0.34,   0.18
