class,precision,recall,f1_score,accuracy
0,0.91,0.96,0.93,   0.92
1,0.96,0.97,0.96,   0.92
2,0.96,0.97,0.96,   0.92
3,0.88,0.76,0.82,   0.92
4,0.87,0.92,0.9,   0.92
