class,precision,recall,f1_score,accuracy
A,0.78,0.9,0.84,   0.83
B,0.9,0.95,0.93,   0.83
D,1.0,0.85,0.92,   0.83
E,0.62,0.8,0.7,   0.83
G,0.94,0.8,0.86,   0.83
I,0.84,0.8,0.82,   0.83
L,0.9,0.95,0.93,   0.83
M,0.94,0.75,0.83,   0.83
N,0.86,0.95,0.9,   0.83
O,0.86,0.6,0.71,   0.83
P,0.95,0.95,0.95,   0.83
Q,0.86,0.95,0.9,   0.83
U,0.83,0.75,0.79,   0.83
V,0.71,0.85,0.77,   0.83
W,0.65,0.65,0.65,   0.83
