class,precision,recall,f1_score,accuracy
A,0.87,1.0,0.93,   0.89
B,0.91,1.0,0.95,   0.89
D,0.95,0.9,0.92,   0.89
E,0.8,0.8,0.8,   0.89
G,0.94,0.8,0.86,   0.89
I,0.9,0.95,0.93,   0.89
L,0.91,1.0,0.95,   0.89
M,1.0,0.8,0.89,   0.89
N,0.87,1.0,0.93,   0.89
O,0.84,0.8,0.82,   0.89
P,0.9,0.95,0.93,   0.89
Q,0.95,0.95,0.95,   0.89
U,1.0,0.8,0.89,   0.89
V,0.83,0.75,0.79,   0.89
W,0.74,0.85,0.79,   0.89
