class,precision,recall,f1_score,accuracy
500,0.91,1.0,0.95,   0.91
1000,0.95,0.9,0.92,   0.91
1500,1.0,0.95,0.97,   0.91
2000,0.93,0.7,0.8,   0.91
2500,1.0,0.9,0.95,   0.91
3000,0.74,1.0,0.85,   0.91
