class,precision,recall,f1_score,accuracy
500,1.0,0.9,0.95,   0.79
1000,0.91,1.0,0.95,   0.79
1500,1.0,1.0,1.0,   0.79
2000,0.0,0.0,0.0,   0.79
2500,1.0,0.85,0.92,   0.79
3000,0.5,1.0,0.67,   0.79
