class,precision,recall,f1_score,accuracy
0,0.83,0.75,0.79,   0.67
1,0.79,0.95,0.86,   0.67
2,0.52,0.55,0.54,   0.67
3,0.95,0.9,0.92,   0.67
4,0.46,0.3,0.36,   0.67
5,0.67,0.7,0.68,   0.67
6,1.0,0.8,0.89,   0.67
7,0.7,0.7,0.7,   0.67
8,0.33,0.4,0.36,   0.67
9,0.59,0.95,0.73,   0.67
10,0.58,0.35,0.44,   0.67
