class,precision,recall,f1_score,accuracy
0,0.58,0.35,0.44,   0.53
1,0.62,1.0,0.77,   0.53
2,0.43,0.3,0.35,   0.53
3,0.82,0.7,0.76,   0.53
4,0.37,0.55,0.44,   0.53
5,0.11,0.05,0.07,   0.53
6,0.83,1.0,0.91,   0.53
7,0.53,0.45,0.49,   0.53
8,0.48,0.6,0.53,   0.53
9,0.4,0.3,0.34,   0.53
10,0.44,0.55,0.49,   0.53
