class,precision,recall,f1_score,accuracy
0,0.38,0.3,0.33,   0.38
1,0.39,0.28,0.32,   0.38
2,0.26,0.4,0.32,   0.38
3,0.32,0.78,0.45,   0.38
4,0.14,0.03,0.04,   0.38
5,0.46,0.3,0.36,   0.38
6,0.82,0.57,0.68,   0.38
