class,precision,recall,f1_score,accuracy
no,0.36,0.87,0.51,   0.40
ok,0.64,0.47,0.54,   0.40
start,0.32,0.27,0.29,   0.40
stop,0.25,0.03,0.06,   0.40
yes,0.41,0.37,0.39,   0.40
