class,precision,recall,f1_score,accuracy
no,0.44,0.53,0.48,   0.55
ok,0.59,0.63,0.61,   0.55
start,0.58,0.47,0.52,   0.55
stop,0.58,0.63,0.6,   0.55
yes,0.56,0.47,0.51,   0.55
