class,precision,recall,f1_score,accuracy
500,1.0,1.0,1.0,   0.50
1000,0.0,0.0,0.0,   0.50
1500,0.49,1.0,0.66,   0.50
2000,0.34,1.0,0.51,   0.50
2500,0.0,0.0,0.0,   0.50
3000,0.0,0.0,0.0,   0.50
