class,precision,recall,f1_score,accuracy
500,0.47,0.35,0.4,   0.41
1000,0.27,0.2,0.23,   0.41
1500,0.53,0.5,0.51,   0.41
2000,0.27,0.2,0.23,   0.41
2500,0.43,0.45,0.44,   0.41
3000,0.43,0.75,0.55,   0.41
