class,precision,recall,f1_score,accuracy
500,1.0,1.0,1.0,   0.98
1000,1.0,1.0,1.0,   0.98
1500,1.0,1.0,1.0,   0.98
2000,0.91,1.0,0.95,   0.98
2500,1.0,0.95,0.97,   0.98
3000,1.0,0.95,0.97,   0.98
