class,precision,recall,f1_score,accuracy
0,0.94,0.97,0.95,   0.90
1,0.93,0.97,0.95,   0.90
2,0.94,0.97,0.96,   0.90
3,0.85,0.7,0.77,   0.90
4,0.83,0.9,0.86,   0.90
