class,precision,recall,f1_score,accuracy
0,0.41,0.24,0.31,   0.52
1,0.37,0.51,0.43,   0.52
2,0.84,0.99,0.91,   0.52
3,0.22,0.08,0.12,   0.52
4,0.52,0.76,0.62,   0.52
