class,precision,recall,f1_score,accuracy
10ms-10ms,0.95,0.99,0.97,   0.96
25ms-25ms,0.98,0.98,0.98,   0.96
50ms-50ms,0.95,0.91,0.93,   0.96
100ms-100ms,1.0,0.96,0.98,   0.96
150ms-150ms,0.91,0.93,0.92,   0.96
200ms-200ms,0.99,0.99,0.99,   0.96
