class,precision,recall,f1_score,accuracy
2000,0.62,0.25,0.36,   0.55
2100,1.0,0.85,0.92,   0.55
2200,0.7,0.35,0.47,   0.55
2300,0.93,0.7,0.8,   0.55
2400,0.2,0.9,0.32,   0.55
2500,0.86,0.6,0.71,   0.55
2600,1.0,0.55,0.71,   0.55
2700,0.87,0.65,0.74,   0.55
2800,0.44,0.35,0.39,   0.55
2900,0.79,0.75,0.77,   0.55
3000,0.5,0.1,0.17,   0.55
