class,precision,recall,f1_score,accuracy
2000,1.0,1.0,1.0,   0.88
2200,0.71,0.6,0.65,   0.88
2400,0.91,1.0,0.95,   0.88
2600,0.65,0.75,0.7,   0.88
2800,1.0,0.9,0.95,   0.88
3000,1.0,1.0,1.0,   0.88
