# 2200

[1277.25, 1277.53, 1277.14, 1285.11, 1268.85, 1273.77, 1275.70, 1281.25, 1274.08, 1283.51, 1296.54, 1273.59, 1295.42, 1285.55, 1286.73, 1278.24, 1281.87, 1273.19, 1296.73, 1275.17, 1288.00, 1286.97, 1282.82, 1276.63, 1270.83, 1280.73, 1269.33, 1269.77, 1274.28, 1275.50, 1275.49, 1276.38, ],
[1268.24, 1276.67, 1270.80, 1274.66, 1268.91, 1297.02, 1280.61, 1273.89, 1267.11, 1279.37, 1266.66, 1278.54, 1287.80, 1274.29, 1270.78, 1284.14, 1277.42, 1276.24, 1267.67, 1280.02, 1264.88, 1272.81, 1265.82, 1282.80, 1269.03, 1279.47, 1274.27, 1280.64, 1280.90, 1281.92, 1278.68, 1276.20, ],
[1271.87, 1268.34, 1275.33, 1271.41, 1275.99, 1273.31, 1280.70, 1273.66, 1269.82, 1272.98, 1276.06, 1269.45, 1265.42, 1279.19, 1265.78, 1290.27, 1276.97, 1281.42, 1296.81, 1289.74, 1265.06, 1295.17, 1325.21, 1291.31, 1280.00, 1267.19, 1300.08, 1287.98, 1268.69, 1271.35, 1281.20, 1292.14, ],
[1273.44, 1276.03, 1280.33, 1273.71, 1280.54, 1275.00, 1280.96, 1274.33, 1291.89, 1273.77, 1276.43, 1272.61, 1281.09, 1269.47, 1284.92, 1285.96, 1284.22, 1273.77, 1276.70, 1288.24, 1277.57, 1269.74, 1287.80, 1297.20, 1283.65, 1283.91, 1291.90, 1268.72, 1275.63, 1268.05, 1279.42, 1271.23, ],
[1299.13, 1272.87, 1273.09, 1274.09, 1272.53, 1273.23, 1281.25, 1280.53, 1266.14, 1274.23, 1279.19, 1273.37, 1268.08, 1275.24, 1273.12, 1282.46, 1277.63, 1273.73, 1273.74, 1278.94, 1273.67, 1277.07, 1269.02, 1284.30, 1271.19, 1286.26, 1268.14, 1278.94, 1275.15, 1271.99, 1278.03, 1285.85, ],
[1311.39, 1274.32, 1276.00, 1273.36, 1273.47, 1272.96, 1266.65, 1289.88, 1277.27, 1285.40, 1261.41, 1272.90, 1263.04, 1280.10, 1269.39, 1273.46, 1267.29, 1282.70, 1272.89, 1297.28, 1283.81, 1287.28, 1283.70, 1277.06, 1264.10, 1279.31, 1275.52, 1284.39, 1266.96, 1277.20, 1270.80, 1276.29, ],
[1268.12, 1270.71, 1268.70, 1269.51, 1268.28, 1268.95, 1295.80, 1269.25, 1328.87, 1514.49, 1271.60, 1416.49, 1494.57, 1282.92, 1383.12, 1298.63, 1424.44, 1272.03, 1304.16, 1284.86, 1272.27, 1358.31, 1273.29, 1408.72, 1343.33, 1336.27, 1331.19, 1275.34, 1334.59, 1281.62, 1288.86, 1303.13, ],
[1297.70, 1259.51, 1282.26, 1263.67, 1274.66, 1261.74, 1270.73, 1264.68, 1276.54, 1259.95, 1271.56, 1269.00, 1276.84, 1281.37, 1271.05, 1264.26, 1265.14, 1256.10, 1271.66, 1262.22, 1268.90, 1257.99, 1285.12, 1265.21, 1283.38, 1260.16, 1270.50, 1260.96, 1269.54, 1261.44, 1271.89, 1259.57, ],
[1268.74, 1261.05, 1294.06, 1264.30, 1285.96, 1273.01, 1270.66, 1267.15, 1289.62, 1261.76, 1270.80, 1268.73, 1266.88, 1265.13, 1286.12, 1266.06, 1279.13, 1261.10, 1272.43, 1261.11, 1284.64, 1272.92, 1270.26, 1267.60, 1265.68, 1262.27, 1272.83, 1287.24, 1264.36, 1260.90, 1278.61, 1262.00, ],
[1252.69, 1263.64, 1254.52, 1264.74, 1257.30, 1259.57, 1255.34, 1267.33, 1252.53, 1265.60, 1250.52, 1267.69, 1257.88, 1261.69, 1255.85, 1261.61, 1255.69, 1260.70, 1256.23, 1261.44, 1251.09, 1257.08, 1250.72, 1265.59, 1258.82, 1262.68, 1274.14, 1262.28, 1253.71, 1268.36, 1274.98, 1259.16, ],
[1258.65, 1254.09, 1249.25, 1255.12, 1251.69, 1257.66, 1251.54, 1255.59, 1254.76, 1260.44, 1249.97, 1266.55, 1257.16, 1261.44, 1253.59, 1258.39, 1255.36, 1269.27, 1255.72, 1281.87, 1287.14, 1282.89, 1271.31, 1258.20, 1260.58, 1254.75, 1267.13, 1269.41, 1254.44, 1274.65, 1269.66, 1258.82, ],
[1258.97, 1266.42, 1252.48, 1263.30, 1254.71, 1255.18, 1252.81, 1245.47, 1258.04, 1254.94, 1254.60, 1247.39, 1302.90, 1243.75, 1273.30, 1296.46, 1254.24, 1248.35, 1251.22, 1269.76, 1251.00, 1309.26, 1314.22, 1281.77, 1283.55, 1259.79, 1251.86, 1266.28, 1263.37, 1255.93, 1270.14, 1260.82, ],
[1266.55, 1261.02, 1256.07, 1272.37, 1262.44, 1279.06, 1269.68, 1262.75, 1274.32, 1261.99, 1265.13, 1261.22, 1305.94, 1257.75, 1261.79, 1254.53, 1261.90, 1318.27, 1261.78, 1265.38, 1260.29, 1258.63, 1258.01, 1249.87, 1257.02, 1261.28, 1267.23, 1270.52, 1257.28, 1298.62, 1267.81, 1273.97, ],
[1256.81, 1262.94, 1250.77, 1268.50, 1258.79, 1261.06, 1254.65, 1267.78, 1265.82, 1264.26, 1251.59, 1273.02, 1254.16, 1259.71, 1266.31, 1297.90, 1258.30, 1257.46, 1250.26, 1257.93, 1260.61, 1257.09, 1261.98, 1258.21, 1277.90, 1254.31, 1286.21, 1269.71, 1264.06, 1263.21, 1259.43, 1279.26, ],
[1262.25, 1259.78, 1255.56, 1253.17, 1251.90, 1259.87, 1261.24, 1261.32, 1254.16, 1272.96, 1262.35, 1268.86, 1264.81, 1277.06, 1255.99, 1263.46, 1288.17, 1255.82, 1284.99, 1286.32, 1255.32, 1256.60, 1271.52, 1287.49, 1272.93, 1272.56, 1271.02, 1274.90, 1255.50, 1265.50, 1252.84, 1282.66, ],
[1267.68, 1253.27, 1321.29, 1252.50, 1261.16, 1247.71, 1269.36, 1254.79, 1269.84, 1263.68, 1269.08, 1281.69, 1284.87, 1282.21, 1266.67, 1260.48, 1264.33, 1258.70, 1299.48, 1269.87, 1262.59, 1278.20, 1264.71, 1258.62, 1270.43, 1260.67, 1285.41, 1253.86, 1267.52, 1266.53, 1264.48, 1258.22, ],
[1274.58, 1265.63, 1277.61, 1253.77, 1261.85, 1259.30, 1263.08, 1256.97, 1255.18, 1259.91, 1273.74, 1256.51, 1257.91, 1259.13, 1277.06, 1281.17, 1262.67, 1262.02, 1275.14, 1263.37, 1272.30, 1281.45, 1267.73, 1253.14, 1254.93, 1252.40, 1256.30, 1258.96, 1261.30, 1264.27, 1256.11, 1266.90, ],
[1271.92, 1264.67, 1252.92, 1260.21, 1271.60, 1266.30, 1261.07, 1263.87, 1258.95, 1268.31, 1267.16, 1270.84, 1275.54, 1258.65, 1268.37, 1256.80, 1266.92, 1263.67, 1257.13, 1259.00, 1255.68, 1256.17, 1255.31, 1273.42, 1264.70, 1267.15, 1250.12, 1263.85, 1254.96, 1273.53, 1249.59, 1264.81, ],
[1338.40, 1339.54, 1269.12, 1307.38, 1335.33, 1376.73, 1329.41, 1425.67, 1311.30, 1302.38, 1277.77, 1296.13, 1251.04, 1265.33, 1277.28, 1258.12, 1275.48, 1254.26, 1250.63, 1260.80, 1318.64, 1266.95, 1270.03, 1268.16, 1283.23, 1262.48, 1285.85, 1260.99, 1267.30, 1255.80, 1252.87, 1282.41, ],
[1262.29, 1253.13, 1271.22, 1253.09, 1288.58, 1256.49, 1262.85, 1264.46, 1292.20, 1286.00, 1265.64, 1266.62, 1256.72, 1250.54, 1255.28, 1259.26, 1285.55, 1273.29, 1290.04, 1292.67, 1286.44, 1280.30, 1286.28, 1300.08, 1275.86, 1277.16, 1329.72, 1278.88, 1260.97, 1280.74, 1282.93, 1252.74, ],
[1264.65, 1265.61, 1259.84, 1265.44, 1278.38, 1275.82, 1351.20, 1263.86, 1261.15, 1258.88, 1260.35, 1261.78, 1263.31, 1283.18, 1301.12, 1314.44, 1263.05, 1273.31, 1268.56, 1258.98, 1265.62, 1261.97, 1270.79, 1264.11, 1258.25, 1291.18, 1264.84, 1274.51, 1259.81, 1263.22, 1255.86, 1259.72, ],
[1272.48, 1261.85, 1256.63, 1254.62, 1252.93, 1260.92, 1258.90, 1262.14, 1252.37, 1273.01, 1253.58, 1312.90, 1261.56, 1255.54, 1264.96, 1300.00, 1280.79, 1267.43, 1253.88, 1272.44, 1345.16, 1310.85, 1268.73, 1280.34, 1268.40, 1272.32, 1266.87, 1293.28, 1299.64, 1312.96, 1262.54, 1266.93, ],
[1246.72, 1255.28, 1259.69, 1282.65, 1270.61, 1268.25, 1259.80, 1277.32, 1269.59, 1258.20, 1268.88, 1269.80, 1296.31, 1309.35, 1321.30, 1272.79, 1261.86, 1264.81, 1253.00, 1319.96, 1260.79, 1263.84, 1255.94, 1284.55, 1283.33, 1321.99, 1284.02, 1368.79, 1328.60, 1323.57, 1299.34, 1288.66, ],
[1289.33, 1269.40, 1305.18, 1282.34, 1298.62, 1281.10, 1305.63, 1271.45, 1281.62, 1271.27, 1270.38, 1273.43, 1281.94, 1298.53, 1268.97, 1311.24, 1263.66, 1272.48, 1317.03, 1277.28, 1256.40, 1257.28, 1309.12, 1261.10, 1266.42, 1260.75, 1268.29, 1259.47, 1257.94, 1261.61, 1264.26, 1253.11, ],
[1258.38, 1268.68, 1301.97, 1256.45, 1268.90, 1263.93, 1274.26, 1272.49, 1262.78, 1259.94, 1256.94, 1254.74, 1261.95, 1250.70, 1261.51, 1255.01, 1270.14, 1279.71, 1276.81, 1279.68, 1323.78, 1258.78, 1269.71, 1256.49, 1267.01, 1256.30, 1272.19, 1277.85, 1263.79, 1259.11, 1266.56, 1271.30, ],
