class,precision,recall,f1_score,accuracy
O,0.95,1.0,0.98,   0.94
I,0.85,0.85,0.85,   0.94
U,0.9,0.95,0.93,   0.94
E,1.0,0.95,0.97,   0.94
A,1.0,0.95,0.97,   0.94
