class,precision,recall,f1_score,accuracy
A,0.86,0.95,0.9,   0.88
B,0.95,0.95,0.95,   0.88
D,1.0,0.9,0.95,   0.88
E,0.71,0.85,0.77,   0.88
G,0.94,0.8,0.86,   0.88
I,0.73,0.8,0.76,   0.88
L,0.9,0.95,0.93,   0.88
M,1.0,0.85,0.92,   0.88
O,0.84,0.8,0.82,   0.88
U,0.9,0.9,0.9,   0.88
