class,precision,recall,f1_score,accuracy
A,0.91,1.0,0.95,
B,0.95,1.0,0.98,
D,1.0,0.95,0.97,
E,0.89,0.8,0.84,
G,0.86,0.95,0.9,
I,0.9,0.9,0.9,
L,1.0,1.0,1.0,
M,1.0,0.95,0.97,
O,0.9,0.95,0.93,
U,1.0,0.9,0.95,
