class,precision,recall,f1_score,accuracy
A,0.89,0.85,0.87,
B,0.78,0.9,0.84,
D,0.9,0.9,0.9,
E,0.5,0.6,0.55,
G,0.81,0.65,0.72,
I,0.58,0.75,0.65,
L,0.83,0.75,0.79,
M,1.0,0.8,0.89,
O,0.55,0.55,0.55,
U,0.83,0.75,0.79,
