class,precision,recall,f1_score,accuracy
A,0.91,1.0,0.95,
B,0.91,1.0,0.95,
D,1.0,0.95,0.97,
E,0.89,0.8,0.84,
G,0.89,0.8,0.84,
I,0.83,0.95,0.88,
L,0.9,0.95,0.93,
M,0.95,0.9,0.92,
O,0.8,0.8,0.8,
U,1.0,0.9,0.95,
